source,title,speaking
SABIT SHABANDULA,Sabit Shabandula,Sabit Shabandula
SABIT THAQI,Sabit Thaqi,Sabit Thaqi
SABIT UKA,Sabit Uka,Sabit Uka
SABIT VELIU,Sabit Veliu,Sabit Veliu
SABIT VLLAHIA,Sabit Vllahia,Sabit Vllahia
SABIT VLLAHIU,Sabit Vllahiu,Sabit Vllahiu
SABIT ZUKA,Sabit Zuka,Sabit Zuka
SABRI AJGERAJ,Sabri Ajgeraj,Sabri Ajgeraj
SABRI AZEMI,Sabri Azemi,Sabri Azemi
SABRI BEHRAMI,Sabri Behrami,Sabri Behrami
SABRI BERISHA,Sabri Berisha,Sabri Berisha
SABRI E SALI MIFTARI,Sabri e Sali Miftari,Sabri e Sali Miftari
SABRI GODO,Sabri Godo,Sabri Godo
SABRI JASHARI,Sabri Jashari,Sabri Jashari
SABRI JETULLAHU,Sabri Jetullahu,Sabri Jetullahu
SABRI KASTRATI,Sabri Kastrati,Sabri Kastrati
SABRI KRIVAÇA,Sabri Krivaça,Sabri Krivaca
SABRI MAXHUNI,Sabri Maxhuni,Sabri Maxhuni
SABRI MORINA,Sabri Morina,Sabri Morina
SABRI SHKODRA,Sabri Shkodra,Sabri Shkodra
SABRIJE VOKSHI BIJA,Sabrije Vokshi Bija,Sabrije Vokshi Bija
SADAKO OGATA,Sadako Ogata,Sadako Ogata
SADEDIN HAJDA,Sadedin Hajda,Sadedin Hajda
SADEDIN SHEHU,Sadedin Shehu,Sadedin Shehu
SADETE DHE SAMI FEKA,Sadete Dhe Sami Feka,Sadete Dhe Sami Feka
SADETE MEKULI,Sadete Mekuli,Sadete Mekuli
SADETE XHOXHAJ,Sadete Xhoxhaj,Sadete Xhoxhaj
SADIK ABDULLAHU,Sadik Abdullahu,Sadik Abdullahu
SADIK ALIDEMA,Sadik Alidema,Sadik Alidema
SADIK BAHTIA,Sadik Bahtia,Sadik Bahtia
SADIK BAJRUSHI,Sadik Bajrushi,Sadik Bajrushi
SADIK BEGA,Sadik Bega,Sadik Bega
SADIK BEKTESHI,Sadik Bekteshi,Sadik Bekteshi
SADIK BERISHA,Sadik Berisha,Sadik Berisha
SADIK BRAHIMI,Sadik Brahimi,Sadik Brahimi
SADIK COKLI,Sadik Cokli,Sadik Cokli
SADIK DHE ZENEL ISUFI,Sadik Dhe Zenel Isufi,Sadik Dhe Zenel Isufi
SADIK DOBRATIQI,Sadik Dobratiqi,Sadik Dobratiqi
SADIK ELEZ VOKSHI,Sadik Elez Vokshi,Sadik Elez Vokshi
SADIK FETA,Sadik Feta,Sadik Feta
SADIK GELA,Sadik Gela,Sadik Gela
SADIK GURI,Sadik Guri,Sadik Guri
SADIK H TETAJ,Sadik H Tetaj,Sadik H Tetaj
SADIK HALILI,Sadik Halili,Sadik Halili
SADIK HAMITI,Sadik Hamiti,Sadik Hamiti
SADIK HAZIRAJ,Sadik Haziraj,Sadik Haziraj
SADIK IDRIZI,Sadik Idrizi,Sadik Idrizi
SADIK IMERI,Sadik Imeri,Sadik Imeri
SADIK JANUZI,Sadik Januzi,Sadik Januzi
SADIK KOKALLA,Sadik Kokalla,Sadik Kokalla
SADIK KOLIQI,Sadik Koliqi,Sadik Koliqi
SADIK LESKOVCI,Sadik Leskovci,Sadik Leskovci
SADIK LUMA,Sadik Luma,Sadik Luma
SADIK MAGASHI,Sadik Magashi,Sadik Magashi
SADIK MALAJ,Sadik Malaj,Sadik Malaj
SADIK MALOKU,Sadik Maloku,Sadik Maloku
SADIK MAXHARRI,Sadik Maxharri,Sadik Maxharri
SADIK MAXHUNI,Sadik Maxhuni,Sadik Maxhuni
SADIK MEROVCI,Sadik Merovci,Sadik Merovci
SADIK MISINI,Sadik Misini,Sadik Misini
SADIK MUHARREMI,Sadik Muharremi,Sadik Muharremi
SADIK MUJOTA,Sadik Mujota,Sadik Mujota
SADIK MUSA,Sadik Musa,Sadik Musa
SADIK OSMANI,Sadik Osmani,Sadik Osmani
SADIK POZHEGU,Sadik Pozhegu,Sadik Pozhegu
SADIK RABUSHAJ,Sadik Rabushaj,Sadik Rabushaj
SADIK RAMA,Sadik Rama,Sadik Rama
SADIK RAMË GJURGJEVIKU,Sadik Ramë Gjurgjeviku,Sadik Rame Gjurgjeviku
SADIK REXHA,Sadik Rexha,Sadik Rexha
SADIK REXHAJ,Sadik Rexhaj,Sadik Rexhaj
SADIK RRUSTEMI,Sadik Rrustemi,Sadik Rrustemi
SADIK RUSTOLLI,Sadik Rustolli,Sadik Rustolli
SADIK S HALITJAHA,Sadik S Halitjaha,Sadik S Halitjaha
SADIK SADIKU,Sadik Sadiku,Sadik Sadiku
SADIK SEJDA,Sadik Sejda,Sadik Sejda
SADIK SHALA,Sadik Shala,Sadik Shala
SADIK SHERIFI,Sadik Sherifi,Sadik Sherifi
SADIK STAVILECI,Sadik Stavileci,Sadik Stavileci
SADIK STAVILECI,Sadik Stavileci,Sadik Stavileci
SADIK TAFARSHIKU,Sadik Tafarshiku,Sadik Tafarshiku
SADIK TAHIRI,Sadik Tahiri,Sadik Tahiri
SADIK TUSHA,Sadik Tusha,Sadik Tusha
SADIK ZABELI,Sadik Zabeli,Sadik Zabeli
SADIK ZEKA,Sadik Zeka,Sadik Zeka
SADIK ZENELI,Sadik Zeneli,Sadik Zeneli
SADIK ZENUNI,Sadik Zenuni,Sadik Zenuni
SADIK ZEQIRI,Sadik Zeqiri,Sadik Zeqiri
SADIK ÇAKA,Sadik Çaka,Sadik Caka
SADIKAJ,Sadikaj,Sadikaj
SADIKAJ DASHINOC,Sadikaj Dashinoc,Sadikaj Dashinoc
SADIKAJT,Sadikajt,Sadikajt
SADIKU,Sadiku,Sadiku
SADKI SYLEJMANI,Sadki Sylejmani,Sadki Sylejmani
SADOLLI,Sadolli,Sadolli
SADRI  GJAKOLAJ,Sadri  Gjakolaj,Sadri  Gjakolaj
SADRI AHMETI,Sadri Ahmeti,Sadri Ahmeti
SADRI AHMETXHEKAJ,Sadri Ahmetxhekaj,Sadri Ahmetxhekaj
SADRI ALIA,Sadri Alia,Sadri Alia
SADRI ALIJA,Sadri Alija,Sadri Alija
SADRI AZEMI,Sadri Azemi,Sadri Azemi
SADRI BADRA,Sadri Badra,Sadri Badra
SADRI BEQIRI,Sadri Beqiri,Sadri Beqiri
SADRI DEMUKAJ,Sadri Demukaj,Sadri Demukaj
SADRI DUHLA,Sadri Duhla,Sadri Duhla
SADRI E ADEM OSA,Sadri e Adem Osa,Sadri e Adem Osa
SADRI FRANCA,Sadri Franca,Sadri Franca
SADRI FRROKAJ,Sadri Frrokaj,Sadri Frrokaj
SADRI GASHANI,Sadri Gashani,Sadri Gashani
SADRI GURAZIU,Sadri Guraziu,Sadri Guraziu
SADRI HAJZERI,Sadri Hajzeri,Sadri Hajzeri
SADRI JAKUPAJ,Sadri Jakupaj,Sadri Jakupaj
SADRI JETULLAHU,Sadri Jetullahu,Sadri Jetullahu
SADRI KABASHI,Sadri Kabashi,Sadri Kabashi
SADRI KAPITI,Sadri Kapiti,Sadri Kapiti
SADRI KIDA,Sadri Kida,Sadri Kida
SADRI KLINAKU,Sadri Klinaku,Sadri Klinaku
SADRI KOJÇIQI,Sadri Kojçiqi,Sadri Kojciqi
SADRI KRASNIQI,Sadri Krasniqi,Sadri Krasniqi
SADRI KULLECI,Sadri Kulleci,Sadri Kulleci
SADRI KUQICA,Sadri Kuqica,Sadri Kuqica
SADRI L BERISHA,Sadri L Berisha,Sadri L Berisha
SADRI LATA,Sadri Lata,Sadri Lata
SADRI LATIFAJ,Sadri Latifaj,Sadri Latifaj
SADRI LOKAJ,Sadri Lokaj,Sadri Lokaj
SADRI MAKSUTI,Sadri Maksuti,Sadri Maksuti
SADRI MAXHUNI,Sadri Maxhuni,Sadri Maxhuni
SADRI MISINI,Sadri Misini,Sadri Misini
SADRI MUQOLLI,Sadri Muqolli,Sadri Muqolli
SADRI MUZAQI,Sadri Muzaqi,Sadri Muzaqi
SADRI NEZA,Sadri Neza,Sadri Neza
SADRI NEZIRI,Sadri Neziri,Sadri Neziri
SADRI PRESTRESHI,Sadri Prestreshi,Sadri Prestreshi
SADRI RAMA,Sadri Rama,Sadri Rama
SADRI RAMADANI,Sadri Ramadani,Sadri Ramadani
SADRI RAMQAJ,Sadri Ramqaj,Sadri Ramqaj
SADRI REXHEPI,Sadri Rexhepi,Sadri Rexhepi
SADRI SARAÇI,Sadri Saraçi,Sadri Saraci
SADRI SHALA,Sadri Shala,Sadri Shala
SADRI SHASHA,Sadri Shasha,Sadri Shasha
SADRI SHKODRA,Sadri Shkodra,Sadri Shkodra
SADRI THAÇI,Sadri Thaçi,Sadri Thaci
SADRI VISHAJ,Sadri Vishaj,Sadri Vishaj
SADRI XHEMË HAJRIZAJ,Sadri Xhemë Hajrizaj,Sadri Xheme Hajrizaj
SADRI ZENELI,Sadri Zeneli,Sadri Zeneli
SADRI ZEQIRAJ,Sadri Zeqiraj,Sadri Zeqiraj
SADRI ZUKAJ,Sadri Zukaj,Sadri Zukaj
SADRIJAJ,Sadrijaj,Sadrijaj
SADRIJAJ DUBRAVË,Sadrijaj Dubravë,Sadrijaj Dubrave
SADRIU,Sadriu,Sadriu
SADULLA E AVNI DIBRANI,Sadulla e Avni Dibrani,Sadulla e Avni Dibrani
SADULLAH BRESTOVCI,Sadullah Brestovci,Sadullah Brestovci
SADULLAH DHE AVNI DIBRANI,Sadullah Dhe Avni Dibrani,Sadullah Dhe Avni Dibrani
SADUSH NEBIHU,Sadush Nebihu,Sadush Nebihu
SAFET AJETI,Safet Ajeti,Safet Ajeti
SAFET BAJRAMI,Safet Bajrami,Safet Bajrami
SAFET BERISHA,Safet Berisha,Safet Berisha
SAFET BOLETINI,Safet Boletini,Safet Boletini
SAFET ELSHANI,Safet Elshani,Safet Elshani
SAFET ISOVIĆ,Safet Isović,Safet Isovic
SAFET KICAJ,Safet Kicaj,Safet Kicaj
SAFET LATIFI,Safet Latifi,Safet Latifi
SAFET REXHEPI,Safet Rexhepi,Safet Rexhepi
SAFET XHINOVCI,Safet Xhinovci,Safet Xhinovci
SAFETE JUKA,Safete Juka,Safete Juka
SAFIT RAMADANI,Safit Ramadani,Safit Ramadani
SAHADETE DRAGAQINA,Sahadete Dragaqina,Sahadete Dragaqina
SAHADETE MEKULI,Sahadete Mekuli,Sahadete Mekuli
SAHAT KULLA,Sahat Kulla,Sahat Kulla
SAHIDE METUSHI,Sahide Metushi,Sahide Metushi
SAHIDE RAMADANI,Sahide Ramadani,Sahide Ramadani
SAHIT AVDULLI,Sahit Avdulli,Sahit Avdulli
SAHIT AZEMI,Sahit Azemi,Sahit Azemi
SAHIT BALIQ,Sahit Baliq,Sahit Baliq
SAHIT BRAHIMI,Sahit Brahimi,Sahit Brahimi
SAHIT BUCOLLI,Sahit Bucolli,Sahit Bucolli
SAHIT DABINOVCI,Sahit Dabinovci,Sahit Dabinovci
SAHIT ELSHANI,Sahit Elshani,Sahit Elshani
SAHIT FUSHA,Sahit Fusha,Sahit Fusha
SAHIT HAJDARI,Sahit Hajdari,Sahit Hajdari
SAHIT IDRIZI,Sahit Idrizi,Sahit Idrizi
SAHIT JAHA,Sahit Jaha,Sahit Jaha
SAHIT KRASNIQI,Sahit Krasniqi,Sahit Krasniqi
SAHIT LLALLOSHI,Sahit Llalloshi,Sahit Llalloshi
SAHIT NAJDENI,Sahit Najdeni,Sahit Najdeni
SAHIT POPAJ,Sahit Popaj,Sahit Popaj
SAHIT PRUSHI,Sahit Prushi,Sahit Prushi
SAHIT QORRI,Sahit Qorri,Sahit Qorri
SAHIT RAMA,Sahit Rama,Sahit Rama
SAHIT SELMANI,Sahit Selmani,Sahit Selmani
SAHIT SHABANI,Sahit Shabani,Sahit Shabani
SAHIT SHAJKOFCI,Sahit Shajkofci,Sahit Shajkofci
SAHIT SHALA,Sahit Shala,Sahit Shala
SAHIT SYLEJMANI,Sahit Sylejmani,Sahit Sylejmani
SAHIT TERZIU,Sahit Terziu,Sahit Terziu
SAHIT TIXHAJ,Sahit Tixhaj,Sahit Tixhaj
SAHIT TIXHAJ,Sahit Tixhaj,Sahit Tixhaj
SAHITI,Sahiti,Sahiti
SAKAKU I KEQ,Sakaku I Keq,Sakaku I Keq
SAKIP BELLAQA,Sakip Bellaqa,Sakip Bellaqa
SAKIP HYSA,Sakip Hysa,Sakip Hysa
SAKIP JAHA,Sakip Jaha,Sakip Jaha
SAKIP MULAKU,Sakip Mulaku,Sakip Mulaku
SAKRIFICA,Sakrifica,Sakrifica
SALA E HAMIT JASHARI,Sala e Hamit Jashari,Sala e Hamit Jashari
SALA JASHARI,Sala Jashari,Sala Jashari
SALAJDIN BRAHA,Salajdin Braha,Salajdin Braha
SALAJDIN BRAHA,Salajdin Braha,Salajdin Braha
SALAJDIN JAGXHIU,Salajdin Jagxhiu,Salajdin Jagxhiu
SALAJDIN KASTRATI,Salajdin Kastrati,Salajdin Kastrati
SALI ABAZI,Sali Abazi,Sali Abazi
SALI ALIJA,Sali Alija,Sali Alija
SALI AZEMI,Sali Azemi,Sali Azemi
