source,title,speaking
DOMGJONI,Domgjoni,Domgjoni
DOMNIT,Domnit,Domnit
DON BOSKO,Don Bosko,Don Bosko
DON MIKEL TARABOLLUZI,Don Mikel Tarabolluzi,Don Mikel Tarabolluzi
DON SHTJEFËN KURTI,Don Shtjefën Kurti,Don Shtjefen Kurti
DON TUNA GLLASNOVIÇ,Don Tuna Gllasnoviç,Don Tuna Gllasnovic
DON ZEF RAMAJ,Don Zef Ramaj,Don Zef Ramaj
DONIKA KASTRIOTI,Donika Kastrioti,Donika Kastrioti
DONIKË KASTRIOTI,Donikë Kastrioti,Donike Kastrioti
DONJA MORAVSKA,Donja Moravska,Donja Moravska
DONJA ČESMA,Donja Česma,Donja Cesma
DONJE MURATEČI,Donje Murateči,Donje Murateci
DORA DISTRIA,Dora Distria,Dora Distria
DORA E ARTË,Dora e Artë,Dora e Arte
DORA VEGMAN,Dora Vegman,Dora Vegman
DORUNTINA,Doruntina,Doruntina
DORČOL,Dorčol,Dorcol
DOSIDEJ OBRADOVIĆ,Dosidej Obradović,Dosidej Obradovic
DOSITEJ OBRADOVIĆ,Dositej Obradović,Dositej Obradovic
DOSITEJA OBRADOVIĆA,Dositeja Obradovića,Dositeja Obradovica
DOSITEJEVA,Dositejeva,Dositejeva
DOSTOJEVSKI,Dostojevski,Dostojevski
DOUNO MAALO,Douno Maalo,Douno Maalo
DOV,Dov,Dov
DOVNI SOKAK,Dovni Sokak,Dovni Sokak
DR ALI HADRI,Dr Ali Hadri,Dr Ali Hadri
DR AVDULLAH VOKRRI,Dr Avdullah Vokrri,Dr Avdullah Vokrri
DR BAHTIR SHEHOLLI,Dr Bahtir Sheholli,Dr Bahtir Sheholli
DR BAJRAM KRASNIQI,Dr Bajram Krasniqi,Dr Bajram Krasniqi
DR GANI AJVAZI,Dr Gani Ajvazi,Dr Gani Ajvazi
DR HASHIM MALOKU,Dr Hashim Maloku,Dr Hashim Maloku
DR NAZIM YMERI,Dr Nazim Ymeri,Dr Nazim Ymeri
DR SHABAN HASHANI,Dr Shaban Hashani,Dr Shaban Hashani
DR SHABAN SYLEJMANI,Dr Shaban Sylejmani,Dr Shaban Sylejmani
DR SHAQIR SHAQIRI,Dr Shaqir Shaqiri,Dr Shaqir Shaqiri
DR VEZIR BAJRAMI,Dr Vezir Bajrami,Dr Vezir Bajrami
DRAGANA FILIPOVIĆA,Dragana Filipovića,Dragana Filipovica
DRAGANA JOVANOVIĆA,Dragana Jovanovića,Dragana Jovanovica
DRAGANA MIHAJLOVIČA,Dragana Mihajloviča,Dragana Mihajlovica
DRAGANA RISTIĆA,Dragana Ristića,Dragana Ristica
DRAGANA TOMIĆA,Dragana Tomića,Dragana Tomica
DRAGAQINA,Dragaqina,Dragaqina
DRAGIŠA IVKOVIČ,Dragiša Ivkovič,Dragisa Ivkovic
DRAGOBIA,Dragobia,Dragobia
DRAGOSHI,Dragoshi,Dragoshi
DRAGOSLAVA ANDRIĆA,Dragoslava Andrića,Dragoslava Andrica
DRAGOSLAVA SREJOVIĆA,Dragoslava Srejovića,Dragoslava Srejovica
DRAGOVAČKA,Dragovačka,Dragovacka
DRAGUSHA,Dragusha,Dragusha
DRAGUTIN JANKOVIĆ,Dragutin Janković,Dragutin Jankovic
DRAGUTINA GAVRILOVIĆA,Dragutina Gavrilovića,Dragutina Gavrilovica
DRANE BOJAXHIU,Drane Bojaxhiu,Drane Bojaxhiu
DRAŽA MIHAJLOVIĆ,Draža Mihajlović,Draza Mihajlovic
DREDHËZAT,Dredhëzat,Dredhezat
DREJTËSIA,Drejtësia,Drejtesia
DRENECI,Dreneci,Dreneci
DRENICA,Drenica,Drenica
DRENICA,Drenica,Drenica
DRENICASËT,Drenicasët,Drenicaset
DRENIT,Drenit,Drenit
DRENOVA,Drenova,Drenova
DRENUSHA,Drenusha,Drenusha
DRENUSHËS,Drenushës,Drenushes
DRILONI,Driloni,Driloni
DRINASI,Drinasi,Drinasi
DRINDOVCI,Drindovci,Drindovci
DRINI,Drini,Drini
DRINI,Drini,Drini
DRINI I BARDHË,Drini I Bardhë,Drini I Bardhe
DRINI I FSHATIT,Drini I Fshatit,Drini I Fshatit
DRINI I ZI,Drini I Zi,Drini I Zi
DRITA,Drita,Drita
DRITA AGOLLI,Drita Agolli,Drita Agolli
DRITA E PARË,Drita e Parë,Drita e Pare
DRITA GËRMIZAJ,Drita Gërmizaj,Drita Germizaj
DRITA KRYEZIU,Drita Kryeziu,Drita Kryeziu
DRITA MUJOTA,Drita Mujota,Drita Mujota
DRITA MUSA,Drita Musa,Drita Musa
DRITA PELINGU,Drita Pelingu,Drita Pelingu
DRITAN HOXHA,Dritan Hoxha,Dritan Hoxha
DRITON AHMETI,Driton Ahmeti,Driton Ahmeti
DRITON AZEMI,Driton Azemi,Driton Azemi
DRITON BAJRAMI,Driton Bajrami,Driton Bajrami
DRITON BRAHIMI,Driton Brahimi,Driton Brahimi
DRITON DEMAKU,Driton Demaku,Driton Demaku
DRITON DEMIRI,Driton Demiri,Driton Demiri
DRITON FERATI,Driton Ferati,Driton Ferati
DRITON G VELIU,Driton G Veliu,Driton G Veliu
DRITON GRANTOLLI,Driton Grantolli,Driton Grantolli
DRITON ISLAM HASANI,Driton Islam Hasani,Driton Islam Hasani
DRITON ISLAMI,Driton Islami,Driton Islami
DRITON KRIVAÇA,Driton Krivaça,Driton Krivaca
DRITON LOKU,Driton Loku,Driton Loku
DRITON M VELIU,Driton M Veliu,Driton M Veliu
DRITON MAXHUNI,Driton Maxhuni,Driton Maxhuni
DRITON MEHANA,Driton Mehana,Driton Mehana
DRITON MEROVCI,Driton Merovci,Driton Merovci
DRITON VELIU,Driton Veliu,Driton Veliu
DRITON XHAFA,Driton Xhafa,Driton Xhafa
DRITON ZENELI,Driton Zeneli,Driton Zeneli
DRUMI I VJETËR,Drumi I Vjetër,Drumi I Vjeter
DRUMI TELIT,Drumi Telit,Drumi Telit
DRUSHTIMI,Drushtimi,Drushtimi
DUBAJI,Dubaji,Dubaji
DUBOVA,Dubova,Dubova
DUBROVNIKU,Dubrovniku,Dubrovniku
DUHI,Duhi,Duhi
DUKAGJIINI,Dukagjiini,Dukagjiini
DUKAGJIN VULA,Dukagjin Vula,Dukagjin Vula
DUKAGJIN VULA,Dukagjin Vula,Dukagjin Vula
DUKAGJINI,Dukagjini,Dukagjini
DUKATI,Dukati,Dukati
DUKATSKA,Dukatska,Dukatska
DUKLE,Dukle,Dukle
DUKË MRAMORI,Dukë Mramori,Duke Mramori
DUL DRAGUSHA,Dul Dragusha,Dul Dragusha
DULAH MAÇASTENA,Dulah Maçastena,Dulah Macastena
DULAH SUTESKA,Dulah Suteska,Dulah Suteska
DUMANI,Dumani,Dumani
DUNAVSKA,Dunavska,Dunavska
DUNJAČKA,Dunjačka,Dunjacka
DUPINOVCI,Dupinovci,Dupinovci
DURAJ,Duraj,Duraj
DURAK AHMETI,Durak Ahmeti,Durak Ahmeti
DURAK KABASHI,Durak Kabashi,Durak Kabashi
DURAK RADA,Durak Rada,Durak Rada
DURAKAJ,Durakaj,Durakaj
DURAKOVSKA,Durakovska,Durakovska
DURAKU,Duraku,Duraku
DURMISH DURMISHI,Durmish Durmishi,Durmish Durmishi
DURMIŠI DUBIJE,Durmiši Dubije,Durmisi Dubije
DUROVSKA,Durovska,Durovska
DURRËSI,Durrësi,Durresi
DURRËSIT,Durrësit,Durresit
DUSHICA,Dushica,Dushica
DUSHKAJA,Dushkaja,Dushkaja
DUSHKU,Dushku,Dushku
DUT,Dut,Dut
DUŠANOVA,Dušanova,Dusanova
DVORANI KACURRETI,Dvorani Kacurreti,Dvorani Kacurreti
DY DËSHMORËT,Dy Dëshmorët,Dy Deshmoret
DY FAZANAT,Dy Fazanat,Dy Fazanat
DY GURËT,Dy Gurët,Dy Guret
DY KRERËT,Dy Krerët,Dy Kreret
DY MARTIRËT,Dy Martirët,Dy Martiret
DYRRAHU,Dyrrahu,Dyrrahu
DYZI,Dyzi,Dyzi
DËLLINJA,Dëllinja,Dellinja
DËRGUTI,Dërguti,Derguti
DËRMAK,Dërmak,Dermak
DËRVISHI,Dërvishi,Dervishi
DËSHMORET E JEZERCIT,Dëshmoret e Jezercit,Deshmoret e Jezercit
DËSHMORET E MANASTIRIT,Dëshmoret e Manastirit,Deshmoret e Manastirit
DËSHMORET E REÇAKUT,Dëshmoret e Reçakut,Deshmoret e Recakut
DËSHMORET E VËRMICËS,Dëshmoret e Vërmicës,Deshmoret e Vermices
DËSHMORI,Dëshmori,Deshmori
DËSHMORI I KOMBIT,Dëshmori I Kombit,Deshmori I Kombit
DËSHMORI I LIRISË,Dëshmori I Lirisë,Deshmori I Lirise
DËSHMORËT,Dëshmorët,Deshmoret
DËSHMORËT  DERVISHDANA,Dëshmorët  Dervishdana,Deshmoret  Dervishdana
DËSHMORËT 1912,Dëshmorët 1912,Deshmoret 1912
DËSHMORËT BABATINCA,Dëshmorët Babatinca,Deshmoret Babatinca
DËSHMORËT BYTYÇI,Dëshmorët Bytyçi,Deshmoret Bytyci
DËSHMORËT DHE MARTIRËT,Dëshmorët Dhe Martirët,Deshmoret Dhe Martiret
DËSHMORËT DËRVISHAJ,Dëshmorët Dërvishaj,Deshmoret Dervishaj
DËSHMORËT E 1903,Dëshmorët e 1903,Deshmoret e 1903
DËSHMORËT E 1921,Dëshmorët e 1921,Deshmoret e 1921
DËSHMORËT E 21 MARSIT,Dëshmorët e 21 Marsit,Deshmoret e 21 Marsit
DËSHMORËT E 6 PRILLIT,Dëshmorët e 6 Prillit,Deshmoret e 6 Prillit
DËSHMORËT E ATLANTIKUT,Dëshmorët e Atlantikut,Deshmoret e Atlantikut
DËSHMORËT E BATUSHËS,Dëshmorët e Batushës,Deshmoret e Batushes
DËSHMORËT E BRIGADËS 128,Dëshmorët e Brigadës 128,Deshmoret e Brigades 128
DËSHMORËT E BUROJËS,Dëshmorët e Burojës,Deshmoret e Burojes
DËSHMORËT E CELINËS,Dëshmorët e Celinës,Deshmoret e Celines
DËSHMORËT E CËRMJANIT,Dëshmorët e Cërmjanit,Deshmoret e Cermjanit
DËSHMORËT E DEMOKRACISË,Dëshmorët e Demokracisë,Deshmoret e Demokracise
DËSHMORËT E DEÇANIT,Dëshmorët e Deçanit,Deshmoret e Decanit
DËSHMORËT E DOBROSHIT,Dëshmorët e Dobroshit,Deshmoret e Dobroshit
DËSHMORËT E DRUARIT,Dëshmorët e Druarit,Deshmoret e Druarit
DËSHMORËT E DUJAKËS,Dëshmorët e Dujakës,Deshmoret e Dujakes
DËSHMORËT E FERIZAJT,Dëshmorët e Ferizajt,Deshmoret e Ferizajt
DËSHMORËT E FSHATIT,Dëshmorët e Fshatit,Deshmoret e Fshatit
DËSHMORËT E GLLOBOÇICËS,Dëshmorët e Glloboçicës,Deshmoret e Gllobocices
DËSHMORËT E GODANCIT,Dëshmorët e Godancit,Deshmoret e Godancit
DËSHMORËT E GODENIT,Dëshmorët e Godenit,Deshmoret e Godenit
DËSHMORËT E GOLLAKUT,Dëshmorët e Gollakut,Deshmoret e Gollakut
DËSHMORËT E GREIÇECIT,Dëshmorët e Greiçecit,Deshmoret e Greicecit
DËSHMORËT E GURRËS,Dëshmorët e Gurrës,Deshmoret e Gurres
DËSHMORËT E HASIT,Dëshmorët e Hasit,Deshmoret e Hasit
DËSHMORËT E HEREQIT,Dëshmorët e Hereqit,Deshmoret e Hereqit
DËSHMORËT E HOÇËS,Dëshmorët e Hoçës,Deshmoret e Hoces
DËSHMORËT E IZBICËS,Dëshmorët e Izbicës,Deshmoret e Izbices
DËSHMORËT E JESHKOVËS,Dëshmorët e Jeshkovës,Deshmoret e Jeshkoves
DËSHMORËT E KIKËS,Dëshmorët e Kikës,Deshmoret e Kikes
DËSHMORËT E KLEQKËS,Dëshmorët e Kleqkës,Deshmoret e Kleqkes
DËSHMORËT E KLLADERNICËS,Dëshmorët e Klladernicës,Deshmoret e Klladernices
DËSHMORËT E KODRALISË,Dëshmorët e Kodralisë,Deshmoret e Kodralise
DËSHMORËT E KOMBIT,Dëshmorët e Kombit,Deshmoret e Kombit
DËSHMORËT E KOPILIQIT TË POSHTËM,Dëshmorët e Kopiliqit Të Poshtëm,Deshmoret e Kopiliqit Te Poshtem
DËSHMORËT E KOSHARËS,Dëshmorët e Kosharës,Deshmoret e Koshares
DËSHMORËT E KRAJKOVËS,Dëshmorët e Krajkovës,Deshmoret e Krajkoves
DËSHMORËT E KRALANIT,Dëshmorët e Kralanit,Deshmoret e Kralanit
DËSHMORËT E KRASNIQES,Dëshmorët e Krasniqes,Deshmoret e Krasniqes
DËSHMORËT E KRASNIQËVE,Dëshmorët e Krasniqëve,Deshmoret e Krasniqeve
DËSHMORËT E KRIVENIKUT,Dëshmorët e Krivenikut,Deshmoret e Krivenikut
DËSHMORËT E KRUSHËS,Dëshmorët e Krushës,Deshmoret e Krushes
DËSHMORËT E LANDOVICËS,Dëshmorët e Landovicës,Deshmoret e Landovices
DËSHMORËT E LEPAJËS,Dëshmorët e Lepajës,Deshmoret e Lepajes
DËSHMORËT E LEZIT,Dëshmorët e Lezit,Deshmoret e Lezit
DËSHMORËT E LIKOCIT,Dëshmorët e Likocit,Deshmoret e Likocit
DËSHMORËT E LIRISË,Dëshmorët e Lirisë,Deshmoret e Lirise
DËSHMORËT E LIRISË,Dëshmorët e Lirisë,Deshmoret e Lirise
DËSHMORËT E LLOQANIT,Dëshmorët e Lloqanit,Deshmoret e Lloqanit
DËSHMORËT E LLUKËS,Dëshmorët e Llukës,Deshmoret e Llukes
DËSHMORËT E LOXHËS,Dëshmorët e Loxhës,Deshmoret e Loxhes
DËSHMORËT E LUMBARDHIT,Dëshmorët e Lumbardhit,Deshmoret e Lumbardhit
DËSHMORËT E MARECIT,Dëshmorët e Marecit,Deshmoret e Marecit
DËSHMORËT E MELENICËS,Dëshmorët e Melenicës,Deshmoret e Melenices
DËSHMORËT E METEHISË,Dëshmorët e Metehisë,Deshmoret e Metehise
DËSHMORËT E MORINËS,Dëshmorët e Morinës,Deshmoret e Morines
DËSHMORËT E MULLIQIT,Dëshmorët e Mulliqit,Deshmoret e Mulliqit
DËSHMORËT E PASHTRIKUT,Dëshmorët e Pashtrikut,Deshmoret e Pashtrikut
DËSHMORËT E PIRANËS,Dëshmorët e Piranës,Deshmoret e Piranes
DËSHMORËT E PLLUZHINËS,Dëshmorët e Plluzhinës,Deshmoret e Plluzhines
DËSHMORËT E POLLUZHËS,Dëshmorët e Polluzhës,Deshmoret e Polluzhes
DËSHMORËT E PONOSHECIT,Dëshmorët e Ponoshecit,Deshmoret e Ponoshecit
DËSHMORËT E POPOCIT,Dëshmorët e Popocit,Deshmoret e Popocit
DËSHMORËT E PRAPASHTICËS,Dëshmorët e Prapashticës,Deshmoret e Prapashtices
DËSHMORËT E PREJLEPIT,Dëshmorët e Prejlepit,Deshmoret e Prejlepit
DËSHMORËT E PREKAZIT,Dëshmorët e Prekazit,Deshmoret e Prekazit
DËSHMORËT E PRIZRENIT,Dëshmorët e Prizrenit,Deshmoret e Prizrenit
DËSHMORËT E QYÇAVICËS,Dëshmorët e Qyçavicës,Deshmoret e Qycavices
DËSHMORËT E RADISHEVËS,Dëshmorët e Radishevës,Deshmoret e Radisheves
DËSHMORËT E RAKOVINËS,Dëshmorët e Rakovinës,Deshmoret e Rakovines
DËSHMORËT E REPËS,Dëshmorët e Repës,Deshmoret e Repes
DËSHMORËT E REQANIT,Dëshmorët e Reqanit,Deshmoret e Reqanit
DËSHMORËT E ROGOVËS,Dëshmorët e Rogovës,Deshmoret e Rogoves
DËSHMORËT E RRACIT,Dëshmorët e Rracit,Deshmoret e Rracit
DËSHMORËT E SHAJNES,Dëshmorët e Shajnes,Deshmoret e Shajnes
DËSHMORËT E SHAPTEJT,Dëshmorët e Shaptejt,Deshmoret e Shaptejt
DËSHMORËT E SHARBANIT,Dëshmorët e Sharbanit,Deshmoret e Sharbanit
DËSHMORËT E SHISHMANIT,Dëshmorët e Shishmanit,Deshmoret e Shishmanit
DËSHMORËT E SHTUTICËS,Dëshmorët e Shtuticës,Deshmoret e Shtutices
DËSHMORËT E SIBOVCIT,Dëshmorët e Sibovcit,Deshmoret e Sibovcit
DËSHMORËT E SLLUPIT,Dëshmorët e Sllupit,Deshmoret e Sllupit
DËSHMORËT E SMOLICËS,Dëshmorët e Smolicës,Deshmoret e Smolices
DËSHMORËT E STRELLCIT ULËT,Dëshmorët e Strellcit Ulët,Deshmoret e Strellcit Ulet
DËSHMORËT E TIVARIT,Dëshmorët e Tivarit,Deshmoret e Tivarit
DËSHMORËT E UÇK,Dëshmorët e Uçk,Deshmoret e Uck
DËSHMORËT E VAGANICËS,Dëshmorët e Vaganicës,Deshmoret e Vaganices
DËSHMORËT E VAJNIKUT,Dëshmorët e Vajnikut,Deshmoret e Vajnikut
DËSHMORËT E VITIT 1943,Dëshmorët e Vitit 1943,Deshmoret e Vitit 1943
DËSHMORËT E VRANIQIT,Dëshmorët e Vraniqit,Deshmoret e Vraniqit
DËSHMORËT E VËRBOVCIT,Dëshmorët e Vërbovcit,Deshmoret e Verbovcit
DËSHMORËT E VËRSHECIT,Dëshmorët e Vërshecit,Deshmoret e Vershecit
DËSHMORËT E ZASKOKUT,Dëshmorët e Zaskokut,Deshmoret e Zaskokut
DËSHMORËT E ZATRIQIT,Dëshmorët e Zatriqit,Deshmoret e Zatriqit
DËSHMORËT E ZHURIT,Dëshmorët e Zhurit,Deshmoret e Zhurit
DËSHMORËT HADERGJONAJ,Dëshmorët Hadergjonaj,Deshmoret Hadergjonaj
DËSHMORËT HALILAJ,Dëshmorët Halilaj,Deshmoret Halilaj
DËSHMORËT IMERAJ,Dëshmorët Imeraj,Deshmoret Imeraj
DËSHMORËT ISMAJLI,Dëshmorët Ismajli,Deshmoret Ismajli
DËSHMORËT KURTAJ,Dëshmorët Kurtaj,Deshmoret Kurtaj
DËSHMORËT LOKAJ,Dëshmorët Lokaj,Deshmoret Lokaj
DËSHMORËT MUSLIJAJ,Dëshmorët Muslijaj,Deshmoret Muslijaj
DËSHMORËT NIMANAJ,Dëshmorët Nimanaj,Deshmoret Nimanaj
DËSHMORËT RAMA,Dëshmorët Rama,Deshmoret Rama
DËSHMORËT RRAHMANAJ,Dëshmorët Rrahmanaj,Deshmoret Rrahmanaj
DËSHMORËT SALIHAJ,Dëshmorët Salihaj,Deshmoret Salihaj
DËSHMORËT SALIHU,Dëshmorët Salihu,Deshmoret Salihu
DËSHMORËT SEJDIU DHE NEBIHU,Dëshmorët Sejdiu Dhe Nebihu,Deshmoret Sejdiu Dhe Nebihu
DËSHMORËT SEJFIJAJ,Dëshmorët Sejfijaj,Deshmoret Sejfijaj
DËSHMORËT STUBLLA,Dëshmorët Stublla,Deshmoret Stublla
DËSHMORËT ÇETAJ,Dëshmorët Çetaj,Deshmoret Cetaj
DËSHMORËVE,Dëshmorëve,Deshmoreve
DŽAMIJISKA,Džamijiska,Dzamijiska
DŽELJOF POTOK,Dželjof Potok,Dzeljof Potok
DŽINOVCI,Džinovci,Dzinovci
DŽONA KENEDIJA,Džona Kenedija,Dzona Kenedija
E ADEMIT,E Ademit,E Ademit
