source,title,speaking
BEQIR E EMIN SELIMI,Beqir e Emin Selimi,Beqir e Emin Selimi
BEQIR EFENDI BARAKU,Beqir Efendi Baraku,Beqir Efendi Baraku
BEQIR FEJZA,Beqir Fejza,Beqir Fejza
BEQIR GASHI,Beqir Gashi,Beqir Gashi
BEQIR HAJDINI,Beqir Hajdini,Beqir Hajdini
BEQIR HAJRIZI,Beqir Hajrizi,Beqir Hajrizi
BEQIR HALILI,Beqir Halili,Beqir Halili
BEQIR HAMITI,Beqir Hamiti,Beqir Hamiti
BEQIR HISEN KASTRATI,Beqir Hisen Kastrati,Beqir Hisen Kastrati
BEQIR HUMOLLI,Beqir Humolli,Beqir Humolli
BEQIR HYSENI,Beqir Hyseni,Beqir Hyseni
BEQIR IZLAMI,Beqir Izlami,Beqir Izlami
BEQIR JAKUPI,Beqir Jakupi,Beqir Jakupi
BEQIR KADOLLI,Beqir Kadolli,Beqir Kadolli
BEQIR KASTRATI,Beqir Kastrati,Beqir Kastrati
BEQIR KELMENDI,Beqir Kelmendi,Beqir Kelmendi
BEQIR KRASNIQI,Beqir Krasniqi,Beqir Krasniqi
BEQIR KURTI,Beqir Kurti,Beqir Kurti
BEQIR LOSHI,Beqir Loshi,Beqir Loshi
BEQIR MALOKU,Beqir Maloku,Beqir Maloku
BEQIR MEHA,Beqir Meha,Beqir Meha
BEQIR MORINA,Beqir Morina,Beqir Morina
BEQIR MUSLIU,Beqir Musliu,Beqir Musliu
BEQIR OSMAN ÇEKAJ,Beqir Osman Çekaj,Beqir Osman Cekaj
BEQIR OSMANI,Beqir Osmani,Beqir Osmani
BEQIR PIREVA,Beqir Pireva,Beqir Pireva
BEQIR POZHEGU,Beqir Pozhegu,Beqir Pozhegu
BEQIR PRELEZI,Beqir Prelezi,Beqir Prelezi
BEQIR QUFAJ,Beqir Qufaj,Beqir Qufaj
BEQIR REXHEPI,Beqir Rexhepi,Beqir Rexhepi
BEQIR RUSHITI,Beqir Rushiti,Beqir Rushiti
BEQIR SADIKU,Beqir Sadiku,Beqir Sadiku
BEQIR SEFA,Beqir Sefa,Beqir Sefa
BEQIR SEJDA,Beqir Sejda,Beqir Sejda
BEQIR SINANI,Beqir Sinani,Beqir Sinani
BEQIR SPAHIU,Beqir Spahiu,Beqir Spahiu
BEQIR SUMA,Beqir Suma,Beqir Suma
BEQIR VOKSHI,Beqir Vokshi,Beqir Vokshi
BEQIR ZEKA,Beqir Zeka,Beqir Zeka
BEQIR ZEQIRI,Beqir Zeqiri,Beqir Zeqiri
BEQIRAJ,Beqiraj,Beqiraj
BEQIRAJT,Beqirajt,Beqirajt
BEQIRI,Beqiri,Beqiri
BEQË HETA,Beqë Heta,Beqe Heta
BEQË KUKALAJ,Beqë Kukalaj,Beqe Kukalaj
BEQË LOKAJ,Beqë Lokaj,Beqe Lokaj
BEQË META,Beqë Meta,Beqe Meta
BEQË QEMA,Beqë Qema,Beqe Qema
BEQË VESELAJ,Beqë Veselaj,Beqe Veselaj
BEQË ZENELI,Beqë Zeneli,Beqe Zeneli
BERAN GASHI,Beran Gashi,Beran Gashi
BERAT MARECI,Berat Mareci,Berat Mareci
BERAT SHABANI,Berat Shabani,Berat Shabani
BERATI,Berati,Berati
BERBATOVCI,Berbatovci,Berbatovci
BEREQETI,Bereqeti,Bereqeti
BERISHA,Berisha,Berisha
BERISHAJ,Berishaj,Berishaj
BERISHAJT,Berishajt,Berishajt
BERLINI,Berlini,Berlini
BERNARD LLUPI,Bernard Llupi,Bernard Llupi
BERNARD SHALA,Bernard Shala,Bernard Shala
BESA,Besa,Besa
BESA BESË,Besa Besë,Besa Bese
BESA E ARBËRIT,Besa e Arbërit,Besa e Arberit
BESA E BRADASHIT,Besa e Bradashit,Besa e Bradashit
BESA E KUÇE,Besa e Kuçe,Besa e Kuce
BESA E LLAPIT,Besa e Llapit,Besa e Llapit
BESA E LUMËS,Besa e Lumës,Besa e Lumes
BESA E MALEVE,Besa e Maleve,Besa e Maleve
BESA E PAVARËSISË,Besa e Pavarësisë,Besa e Pavaresise
BESA IMAMI,Besa Imami,Besa Imami
BESA JONË,Besa Jonë,Besa Jone
BESA SHQIPTARE,Besa Shqiptare,Besa Shqiptare
BESENAJE,Besenaje,Besenaje
BESHENIKU,Besheniku,Besheniku
BESHIR BESHIRI,Beshir Beshiri,Beshir Beshiri
BESIANA,Besiana,Besiana
BESIM BEHLULI,Besim Behluli,Besim Behluli
BESIM BEKA,Besim Beka,Besim Beka
BESIM BERISHA,Besim Berisha,Besim Berisha
BESIM BISTRAZHINI,Besim Bistrazhini,Besim Bistrazhini
BESIM BOKSHI,Besim Bokshi,Besim Bokshi
BESIM DAJAKU,Besim Dajaku,Besim Dajaku
BESIM E SKENDER LATIFI,Besim e Skender Latifi,Besim e Skender Latifi
BESIM FAZLIU,Besim Fazliu,Besim Fazliu
BESIM HALILAJ,Besim Halilaj,Besim Halilaj
BESIM ISLAMI,Besim Islami,Besim Islami
BESIM KABASHI,Besim Kabashi,Besim Kabashi
BESIM KASTRATI,Besim Kastrati,Besim Kastrati
BESIM KUKAJ,Besim Kukaj,Besim Kukaj
BESIM LEVONJA,Besim Levonja,Besim Levonja
BESIM MALA,Besim Mala,Besim Mala
BESIM MAZREKU,Besim Mazreku,Besim Mazreku
BESIM NDRECA,Besim Ndreca,Besim Ndreca
BESIM NDRECAJ,Besim Ndrecaj,Besim Ndrecaj
BESIM NUKA,Besim Nuka,Besim Nuka
BESIM PAQARIZI,Besim Paqarizi,Besim Paqarizi
BESIM PARALLANGAJ,Besim Parallangaj,Besim Parallangaj
BESIM QARRI,Besim Qarri,Besim Qarri
BESIM RAMA,Besim Rama,Besim Rama
BESIM REXHEPI,Besim Rexhepi,Besim Rexhepi
BESIM SAHATÇIU,Besim Sahatçiu,Besim Sahatciu
BESIM SHALA,Besim Shala,Besim Shala
BESIM SOPA,Besim Sopa,Besim Sopa
BESIM TELAKU,Besim Telaku,Besim Telaku
BESIM UKËHAXHAJ,Besim Ukëhaxhaj,Besim Ukehaxhaj
BESIM VITIA,Besim Vitia,Besim Vitia
BESIMI,Besimi,Besimi
BESLIDHJA,Beslidhja,Beslidhja
BESMIR AZEMI,Besmir Azemi,Besmir Azemi
BESNIK ADEMI,Besnik Ademi,Besnik Ademi
BESNIK BEGUNCA,Besnik Begunca,Besnik Begunca
BESNIK BELLODA,Besnik Belloda,Besnik Belloda
BESNIK E BUJAR JASIQI,Besnik e Bujar Jasiqi,Besnik e Bujar Jasiqi
BESNIK FERATI,Besnik Ferati,Besnik Ferati
BESNIK JASIQI,Besnik Jasiqi,Besnik Jasiqi
BESNIK KASTRATI,Besnik Kastrati,Besnik Kastrati
BESNIK KRASNIQI,Besnik Krasniqi,Besnik Krasniqi
BESNIK LAJÇI,Besnik Lajçi,Besnik Lajci
BESNIK MAROCA,Besnik Maroca,Besnik Maroca
BESNIK MUÇAJ,Besnik Muçaj,Besnik Mucaj
BESNIK OSMANI,Besnik Osmani,Besnik Osmani
BESNIK PËRZHAKU,Besnik Përzhaku,Besnik Perzhaku
BESNIK RESTELICA,Besnik Restelica,Besnik Restelica
BESNIK SHABANI,Besnik Shabani,Besnik Shabani
BESNIK SHAQIRI,Besnik Shaqiri,Besnik Shaqiri
BESNIK ÇOÇAJ,Besnik Çoçaj,Besnik Cocaj
BESTARËT,Bestarët,Bestaret
BESËLIDHJA,Besëlidhja,Beselidhja
BESËLIDHJA KOMBËTARE,Besëlidhja Kombëtare,Beselidhja Kombetare
BETEJ E 25 MAJIT,Betej e 25 Majit,Betej e 25 Majit
BETEJA,Beteja,Beteja
BETEJA 15 MAJI,Beteja 15 Maji,Beteja 15 Maji
BETEJA DRINASI,Beteja Drinasi,Beteja Drinasi
BETEJA E 1878,Beteja e 1878,Beteja e 1878
BETEJA E 25 MAJIT,Beteja e 25 Majit,Beteja e 25 Majit
BETEJA E 8 MARSIT,Beteja e 8 Marsit,Beteja e 8 Marsit
BETEJA E ALBULENËS,Beteja e Albulenës,Beteja e Albulenes
BETEJA E ANADRINISË,Beteja e Anadrinisë,Beteja e Anadrinise
BETEJA E BARDHIT,Beteja e Bardhit,Beteja e Bardhit
BETEJA E BLLACËS,Beteja e Bllacës,Beteja e Bllaces
BETEJA E BUQËS,Beteja e Buqës,Beteja e Buqes
BETEJA E DRINIT,Beteja e Drinit,Beteja e Drinit
BETEJA E DRUARIT,Beteja e Druarit,Beteja e Druarit
BETEJA E FUSHTICËS,Beteja e Fushticës,Beteja e Fushtices
BETEJA E GALLUSHËS,Beteja e Gallushës,Beteja e Gallushes
BETEJA E GRADISHIT,Beteja e Gradishit,Beteja e Gradishit
BETEJA E GUSHTIT,Beteja e Gushtit,Beteja e Gushtit
BETEJA E HADES,Beteja e Hades,Beteja e Hades
BETEJA E HAMOVCIT,Beteja e Hamovcit,Beteja e Hamovcit
BETEJA E IVAJËS,Beteja e Ivajës,Beteja e Ivajes
BETEJA E JESHKOVËS,Beteja e Jeshkovës,Beteja e Jeshkoves
BETEJA E KALLAVAJËS,Beteja e Kallavajës,Beteja e Kallavajes
BETEJA E KAÇANIKUT,Beteja e Kaçanikut,Beteja e Kacanikut
BETEJA E KAÇANOLLIT,Beteja e Kaçanollit,Beteja e Kacanollit
BETEJA E KIKËS,Beteja e Kikës,Beteja e Kikes
BETEJA E KLYSYRËS,Beteja e Klysyrës,Beteja e Klysyres
BETEJA E KORRIKUT,Beteja e Korrikut,Beteja e Korrikut
BETEJA E KOSHARES,Beteja e Koshares,Beteja e Koshares
BETEJA E KOSHARES,Beteja e Koshares,Beteja e Koshares
BETEJA E KOSHARËS,Beteja e Kosharës,Beteja e Koshares
BETEJA E KUSHTRIMIT,Beteja e Kushtrimit,Beteja e Kushtrimit
BETEJA E LLAPASHTICËS,Beteja e Llapashticës,Beteja e Llapashtices
BETEJA E LLAPUSHNIKUT,Beteja e Llapushnikut,Beteja e Llapushnikut
BETEJA E LOGJËS,Beteja e Logjës,Beteja e Logjes
BETEJA E LUMËS,Beteja e Lumës,Beteja e Lumes
BETEJA E MARSIT,Beteja e Marsit,Beteja e Marsit
BETEJA E MORINËS,Beteja e Morinës,Beteja e Morines
BETEJA E OSHLANIT,Beteja e Oshlanit,Beteja e Oshlanit
BETEJA E PANTINËS,Beteja e Pantinës,Beteja e Pantines
BETEJA E PARË,Beteja e Parë,Beteja e Pare
BETEJA E PASHTRIKUT,Beteja e Pashtrikut,Beteja e Pashtrikut
BETEJA E PREKAZIT,Beteja e Prekazit,Beteja e Prekazit
BETEJA E PRILLIT,Beteja e Prillit,Beteja e Prillit
BETEJA E QËNDRESËS,Beteja e Qëndresës,Beteja e Qendreses
BETEJA E SHTATORIT,Beteja e Shtatorit,Beteja e Shtatorit
BETEJA E SUKËS,Beteja e Sukës,Beteja e Sukes
BETEJA E USHIT,Beteja e Ushit,Beteja e Ushit
BETEJA E UÇK,Beteja e Uçk,Beteja e Uck
BETEJA E UÇK MARECI,Beteja e Uçk Mareci,Beteja e Uck Mareci
BETEJA E VËRRINIT,Beteja e Vërrinit,Beteja e Verrinit
BETEJA E ZHURIT,Beteja e Zhurit,Beteja e Zhurit
BETEJA ILIRE,Beteja Ilire,Beteja Ilire
BETEJA KABASHIT,Beteja Kabashit,Beteja Kabashit
BETEJA KOSHARËS,Beteja Kosharës,Beteja Koshares
BETEJA MAHALLËS,Beteja Mahallës,Beteja Mahalles
BETEJA SLIVOVËS,Beteja Slivovës,Beteja Slivoves
BETEJAT ILIRE,Betejat Ilire,Betejat Ilire
BETEJAVE,Betejave,Betejave
BETIM BERISHA,Betim Berisha,Betim Berisha
BETIM PROKSHI,Betim Prokshi,Betim Prokshi
BEÇUKU,Beçuku,Becuku
BEĆIROSKO,Bećirosko,Becirosko
BIA UÇK,Bia Uçk,Bia Uck
BIBA,Biba,Biba
BIBOĆI,Biboći,Biboci
BIBË DODA,Bibë Doda,Bibe Doda
BICAJ,Bicaj,Bicaj
BIGOR,Bigor,Bigor
BIHORSKA,Bihorska,Bihorska
BIJE VOKSHI,Bije Vokshi,Bije Vokshi
BIJTË E DILIT,Bijtë e Dilit,Bijte e Dilit
BIJTË E SHQIPES,Bijtë e Shqipes,Bijte e Shqipes
BIK NDOJA,Bik Ndoja,Bik Ndoja
BILAJ,Bilaj,Bilaj
BILAL XHAFERRI,Bilal Xhaferri,Bilal Xhaferri
BILALL BILALLI,Bilall Bilalli,Bilall Bilalli
BILALL E DIBRAN IMERI,Bilall e Dibran Imeri,Bilall e Dibran Imeri
BILALL MAZREKAJ,Bilall Mazrekaj,Bilall Mazrekaj
BILALL SHALA,Bilall Shala,Bilall Shala
BILALL UKA,Bilall Uka,Bilall Uka
BILALL XHAFERI,Bilall Xhaferi,Bilall Xhaferi
BILBILAT,Bilbilat,Bilbilat
BILBILI I KOSOVËS,Bilbili I Kosovës,Bilbili I Kosoves
BILIBANCI,Bilibanci,Bilibanci
BILISHTI,Bilishti,Bilishti
BILL KLINTON,Bill Klinton,Bill Klinton
BILL KLINTON,Bill Klinton,Bill Klinton
BINAK AHMETI,Binak Ahmeti,Binak Ahmeti
BINAK ALIA,Binak Alia,Binak Alia
BINAK ALIÇKAJ,Binak Aliçkaj,Binak Alickaj
BINAK AVDYLI,Binak Avdyli,Binak Avdyli
BINAK HAJDARAJ,Binak Hajdaraj,Binak Hajdaraj
BINAK HYSENI,Binak Hyseni,Binak Hyseni
BINAK PERKIQI,Binak Perkiqi,Binak Perkiqi
BINAK RAMA,Binak Rama,Binak Rama
BINAKAJ,Binakaj,Binakaj
BINARËT,Binarët,Binaret
BINAČKA,Binačka,Binacka
BINGENI,Bingeni,Bingeni
BIRDAINI,Birdaini,Birdaini
BISLIM ADEMI,Bislim Ademi,Bislim Ademi
BISLIM ALIJAJ,Bislim Alijaj,Bislim Alijaj
BISLIM ASLLANI,Bislim Asllani,Bislim Asllani
BISLIM BAJGORA,Bislim Bajgora,Bislim Bajgora
BISLIM BISLIMI,Bislim Bislimi,Bislim Bislimi
BISLIM DEDIJA,Bislim Dedija,Bislim Dedija
BISLIM DHE HASHIM LUSHTAKU,Bislim Dhe Hashim Lushtaku,Bislim Dhe Hashim Lushtaku
BISLIM E NEZIR RESTELICA,Bislim e Nezir Restelica,Bislim e Nezir Restelica
BISLIM FERIZI,Bislim Ferizi,Bislim Ferizi
BISLIM HOGOSHTI,Bislim Hogoshti,Bislim Hogoshti
BISLIM ISTREFI,Bislim Istrefi,Bislim Istrefi
BISLIM KAMER IMERI,Bislim Kamer Imeri,Bislim Kamer Imeri
BISLIM KODROLLI,Bislim Kodrolli,Bislim Kodrolli
BISLIM MAKOLLI,Bislim Makolli,Bislim Makolli
BISLIM NRECA,Bislim Nreca,Bislim Nreca
BISLIM SALLAHU,Bislim Sallahu,Bislim Sallahu
BISLIM SELIMI,Bislim Selimi,Bislim Selimi
BISLIM SHAQIRI,Bislim Shaqiri,Bislim Shaqiri
BISLIM TREPÇA,Bislim Trepça,Bislim Trepca
BISLIM UKA,Bislim Uka,Bislim Uka
BISLIM VATOVCI,Bislim Vatovci,Bislim Vatovci
BISLIM ZEKOLLI,Bislim Zekolli,Bislim Zekolli
BISTRICA ILIRE,Bistrica Ilire,Bistrica Ilire
BISTRIČKA,Bistrička,Bistricka
BISTRIČKA KLISURA,Bistrička Klisura,Bistricka Klisura
BIT PODVORICA,Bit Podvorica,Bit Podvorica
BITIA,Bitia,Bitia
BIVOLJAČKA,Bivoljačka,Bivoljacka
BIXHAKU,Bixhaku,Bixhaku
BJELOPOLJSKA,Bjelopoljska,Bjelopoljska
BJESHKA,Bjeshka,Bjeshka
BJESHKA E BUDAKOVËS,Bjeshka e Budakovës,Bjeshka e Budakoves
BJESHKËS,Bjeshkës,Bjeshkes
BJESHKËT E DEÇANIT,Bjeshkët e Deçanit,Bjeshket e Decanit
BJESHKËT E NEMUNA,Bjeshkët e Nemuna,Bjeshket e Nemuna
BLAGOVESTI,Blagovesti,Blagovesti
BLEGTORI,Blegtori,Blegtori
BLEKTORËT,Blektorët,Blektoret
BLENISHTI,Blenishti,Blenishti
BLERIM ADEMI,Blerim Ademi,Blerim Ademi
BLERIM AHMETI,Blerim Ahmeti,Blerim Ahmeti
BLERIM BAJRAMI,Blerim Bajrami,Blerim Bajrami
BLERIM BALAJ,Blerim Balaj,Blerim Balaj
BLERIM BERISHA,Blerim Berisha,Blerim Berisha
BLERIM DERVISHAJ,Blerim Dervishaj,Blerim Dervishaj
BLERIM DHE FEKË DURMISHI,Blerim Dhe Fekë Durmishi,Blerim Dhe Feke Durmishi
BLERIM DURMISHI,Blerim Durmishi,Blerim Durmishi
BLERIM HOXHA,Blerim Hoxha,Blerim Hoxha
BLERIM JONUZAJ,Blerim Jonuzaj,Blerim Jonuzaj
BLERIM KRASNIQI,Blerim Krasniqi,Blerim Krasniqi
BLERIM LOKAJ,Blerim Lokaj,Blerim Lokaj
BLERIM NEZIRI,Blerim Neziri,Blerim Neziri
BLERIM RAKA,Blerim Raka,Blerim Raka
BLERIM SARAÇI,Blerim Saraçi,Blerim Saraci
BLERIM SELMANI,Blerim Selmani,Blerim Selmani
BLERIM SPAHIU,Blerim Spahiu,Blerim Spahiu
BLERIM ZUQAKU,Blerim Zuqaku,Blerim Zuqaku
BLERTA,Blerta,Blerta
BLETA,Bleta,Bleta
BLETA SHQIPTARE,Bleta Shqiptare,Bleta Shqiptare
BLINAJA,Blinaja,Blinaja
BLINAJAT,Blinajat,Blinajat
BLINAJAVE,Blinajave,Blinajave
BLINI,Blini,Blini
BLINI I AJAZIT,Blini I Ajazit,Blini I Ajazit
BLINI I MADHË,Blini I Madhë,Blini I Madhe
BLINISHTA,Blinishta,Blinishta
BLLACA,Bllaca,Bllaca
BLLACJANËT,Bllacjanët,Bllacjanet
BLLATA,Bllata,Bllata
BOB DOLI,Bob Doli,Bob Doli
BOBI,Bobi,Bobi
BOBIŠĆA,Bobišća,Bobisca
BODRUMI,Bodrumi,Bodrumi
BOGAJ,Bogaj,Bogaj
BOGDANI,Bogdani,Bogdani
BOGOŠEVCE,Bogoševce,Bogosevce
BOGZA,Bogza,Bogza
BOHUMIJE HRABAL,Bohumije Hrabal,Bohumije Hrabal
BOJANSKA,Bojanska,Bojanska
BOJKUT,Bojkut,Bojkut
BOKA,Boka,Boka
BOKA E AMËS,Boka e Amës,Boka e Ames
BOKËZA,Bokëza,Bokeza
BOLECI,Boleci,Boleci
BOLETINI,Boletini,Boletini
BOLJI ŽIVOT,Bolji Život,Bolji Zivot
BOLNIČKA,Bolnička,Bolnicka
BONDSTILL,Bondstill,Bondstill
BORA STANKOVIĆ,Bora Stanković,Bora Stankovic
BORAČKA,Boračka,Boracka
BORE STANKOVIĆA,Bore Stankovića,Bore Stankovica
BORKA FILIPOVIĆA,Borka Filipovića,Borka Filipovica
BORO VUKMIROVIĆ,Boro Vukmirović,Boro Vukmirovic
BOROVAC,Borovac,Borovac
BORSHI,Borshi,Borshi
BOSANSKA,Bosanska,Bosanska
BOSHKO ÇAKIQ,Boshko Çakiq,Boshko Cakiq
BOSHNJAKËT,Boshnjakët,Boshnjaket
BOSILJKE RAJČIĆ,Bosiljke Rajčić,Bosiljke Rajcic
BOSTONI,Bostoni,Bostoni
BOŽARSKA,Božarska,Bozarska
BRAH LOHAJ,Brah Lohaj,Brah Lohaj
BRAHA,Braha,Braha
BRAHAJT,Brahajt,Brahajt
BRAHIM ADEMI,Brahim Ademi,Brahim Ademi
BRAHIM ALIÇKI,Brahim Aliçki,Brahim Alicki
BRAHIM AVDULLI,Brahim Avdulli,Brahim Avdulli
BRAHIM AVDYLI,Brahim Avdyli,Brahim Avdyli
BRAHIM AZEMI,Brahim Azemi,Brahim Azemi
BRAHIM BASHOTA,Brahim Bashota,Brahim Bashota
BRAHIM BEKA,Brahim Beka,Brahim Beka
BRAHIM BERISHA,Brahim Berisha,Brahim Berisha
BRAHIM BUNJAKU,Brahim Bunjaku,Brahim Bunjaku
BRAHIM DAKAJ,Brahim Dakaj,Brahim Dakaj
BRAHIM DASHI,Brahim Dashi,Brahim Dashi
BRAHIM DEMALIJAJ,Brahim Demalijaj,Brahim Demalijaj
BRAHIM DHE GANI RAMA,Brahim Dhe Gani Rama,Brahim Dhe Gani Rama
BRAHIM E FATMIR KASTRATI,Brahim e Fatmir Kastrati,Brahim e Fatmir Kastrati
BRAHIM HALIMI,Brahim Halimi,Brahim Halimi
BRAHIM HASANI,Brahim Hasani,Brahim Hasani
BRAHIM HAXHA,Brahim Haxha,Brahim Haxha
BRAHIM HAXHIA,Brahim Haxhia,Brahim Haxhia
BRAHIM HAZIRI,Brahim Haziri,Brahim Haziri
BRAHIM HOXHA,Brahim Hoxha,Brahim Hoxha
BRAHIM HYLENAJ,Brahim Hylenaj,Brahim Hylenaj
BRAHIM HYSENI,Brahim Hyseni,Brahim Hyseni
BRAHIM ISLAMI,Brahim Islami,Brahim Islami
BRAHIM KASTRATI,Brahim Kastrati,Brahim Kastrati
BRAHIM LUMA,Brahim Luma,Brahim Luma
BRAHIM MELLA,Brahim Mella,Brahim Mella
BRAHIM MUHAXHERI,Brahim Muhaxheri,Brahim Muhaxheri
BRAHIM MULLIQI,Brahim Mulliqi,Brahim Mulliqi
BRAHIM MUSLIU,Brahim Musliu,Brahim Musliu
BRAHIM MUZAQI,Brahim Muzaqi,Brahim Muzaqi
BRAHIM MUÇA,Brahim Muça,Brahim Muca
BRAHIM NRECA,Brahim Nreca,Brahim Nreca
BRAHIM NUHAJ,Brahim Nuhaj,Brahim Nuhaj
BRAHIM OSMANAJ,Brahim Osmanaj,Brahim Osmanaj
BRAHIM RAMA,Brahim Rama,Brahim Rama
BRAHIM RRUSTEMI,Brahim Rrustemi,Brahim Rrustemi
BRAHIM SALIHU,Brahim Salihu,Brahim Salihu
BRAHIM SELIMI,Brahim Selimi,Brahim Selimi
BRAHIM SFARÇA,Brahim Sfarça,Brahim Sfarca
BRAHIM SHALA,Brahim Shala,Brahim Shala
BRAHIM SMAJLI,Brahim Smajli,Brahim Smajli
BRAHIM SYLEJMANI,Brahim Sylejmani,Brahim Sylejmani
BRAHIM TAFAJ,Brahim Tafaj,Brahim Tafaj
BRAHIM TAHIRI,Brahim Tahiri,Brahim Tahiri
BRAHIM TRONI,Brahim Troni,Brahim Troni
BRAHIM UKA,Brahim Uka,Brahim Uka
BRAHIM UKIMERI,Brahim Ukimeri,Brahim Ukimeri
BRAHIM VLLASA,Brahim Vllasa,Brahim Vllasa
BRAHIM VOGLIQI,Brahim Vogliqi,Brahim Vogliqi
BRAHIM ZEKA,Brahim Zeka,Brahim Zeka
BRAHIM ÇETA,Brahim Çeta,Brahim Ceta
BRAHË BEJTA,Brahë Bejta,Brahe Bejta
BRAHË HERTICA,Brahë Hertica,Brahe Hertica
BRAHË SELMANI,Brahë Selmani,Brahe Selmani
BRAHË ZEQIRI,Brahë Zeqiri,Brahe Zeqiri
BRAINA,Braina,Braina
BRAJSHORI,Brajshori,Brajshori
BRANA PETROVIĆ,Brana Petrović,Brana Petrovic
BRANESHAT,Braneshat,Braneshat
BRANISLAVA JERENIĆA,Branislava Jerenića,Branislava Jerenica
BRANISLAVA NUŠIĆA,Branislava Nušića,Branislava Nusica
BRANKA MILJKOVIĆA,Branka Miljkovića,Branka Miljkovica
BRANKA RADIČEVIĆA,Branka Radičevića,Branka Radicevica
BRANKA RADIČEVIČA,Branka Radičeviča,Branka Radicevica
BRANKA ĆOPIĆA,Branka Ćopića,Branka Copica
BRANKO HORVAT,Branko Horvat,Branko Horvat
BRANKO RADIČEVIĆ,Branko Radičević,Branko Radicevic
BRANKO ČOPIČ,Branko Čopič,Branko Copic
BRATI,Brati,Brati
BRATISLAV NAČIĆ,Bratislav Načić,Bratislav Nacic
BRATSTVOJEDINTSVO,Bratstvojedintsvo,Bratstvojedintsvo
BRAĆE AKSIĆ,Braće Aksić,Brace Aksic
BRCE,Brce,Brce
BRDO,Brdo,Brdo
BREDHI,Bredhi,Bredhi
BREG,Breg,Breg
BREGAJVE,Bregajve,Bregajve
BREGIT,Bregit,Bregit
BREGORET,Bregoret,Bregoret
BREGORJA,Bregorja,Bregorja
BREGU,Bregu,Bregu
BREGU  I ILIXHES,Bregu  I Ilixhes,Bregu  I Ilixhes
BREGU I BARAVE,Bregu I Barave,Bregu I Barave
BREGU I BUGURDOLLIT,Bregu I Bugurdollit,Bregu I Bugurdollit
BREGU I DIELLIT,Bregu I Diellit,Bregu I Diellit
BREGU I FANGUT,Bregu I Fangut,Bregu I Fangut
BREGU I JAZIT,Bregu I Jazit,Bregu I Jazit
BREGU I KUQ,Bregu I Kuq,Bregu I Kuq
BREGU I LUMIT,Bregu I Lumit,Bregu I Lumit
BREGU I MADH,Bregu I Madh,Bregu I Madh
BREGU I MADHË,Bregu I Madhë,Bregu I Madhe
BREGU I QESHMES,Bregu I Qeshmes,Bregu I Qeshmes
BREGU I VOGËL,Bregu I Vogël,Bregu I Vogel
BREGUT,Bregut,Bregut
BRESHTZËS,Breshtzës,Breshtzes
BRESJANSKA,Bresjanska,Bresjanska
BREZA,Breza,Breza
BREZI I ARTË,Brezi I Artë,Brezi I Arte
BREZI I GJELBËR,Brezi I Gjelbër,Brezi I Gjelber
BREZNIA,Breznia,Breznia
BREZNICA,Breznica,Breznica
BREZOJCA,Brezojca,Brezojca
BRIA,Bria,Bria
BRIGADA,Brigada,Brigada
BRIGADA 111,Brigada 111,Brigada 111
BRIGADA 112 SHERIF E ENVER,Brigada 112 Sherif e Enver,Brigada 112 Sherif e Enver
BRIGADA 114,Brigada 114,Brigada 114
BRIGADA 114 AGIM ALISHANI,Brigada 114 Agim Alishani,Brigada 114 Agim Alishani
BRIGADA 121,Brigada 121,Brigada 121
BRIGADA 123,Brigada 123,Brigada 123
BRIGADA 124,Brigada 124,Brigada 124
BRIGADA 125,Brigada 125,Brigada 125
BRIGADA 125 REMZI ADEMI,Brigada 125 Remzi Ademi,Brigada 125 Remzi Ademi
BRIGADA 126,Brigada 126,Brigada 126
BRIGADA 126 HASI,Brigada 126 Hasi,Brigada 126 Hasi
BRIGADA 128,Brigada 128,Brigada 128
BRIGADA 128 SALI SARAMATI,Brigada 128 Sali Saramati,Brigada 128 Sali Saramati
BRIGADA 132,Brigada 132,Brigada 132
BRIGADA 134,Brigada 134,Brigada 134
BRIGADA 134 BEDRI SHALA,Brigada 134 Bedri Shala,Brigada 134 Bedri Shala
BRIGADA 135,Brigada 135,Brigada 135
BRIGADA 137,Brigada 137,Brigada 137
BRIGADA 141 MEHË UKA,Brigada 141 Mehë Uka,Brigada 141 Mehe Uka
BRIGADA 142,Brigada 142,Brigada 142
BRIGADA 153,Brigada 153,Brigada 153
BRIGADA 162 AGIM BAJRAMI,Brigada 162 Agim Bajrami,Brigada 162 Agim Bajrami
BRIGADA 164,Brigada 164,Brigada 164
BRIGADA 171 KADRI ZEKA,Brigada 171 Kadri Zeka,Brigada 171 Kadri Zeka
BRIGADA 172 E UÇK,Brigada 172 e Uçk,Brigada 172 e Uck
BRIGADA 173,Brigada 173,Brigada 173
BRIGADA 60,Brigada 60,Brigada 60
BRIGADA E LIRISË,Brigada e Lirisë,Brigada e Lirise
BRIGADA E PARË,Brigada e Parë,Brigada e Pare
BRIGADA E SHABAN POLLUZHËS,Brigada e Shaban Polluzhës,Brigada e Shaban Polluzhes
BRIGJET,Brigjet,Brigjet
BRIGJET E LIRISË,Brigjet e Lirisë,Brigjet e Lirise
BRINJA,Brinja,Brinja
BRINJA E HISARIT,Brinja e Hisarit,Brinja e Hisarit
BRIČKOVCI,Bričkovci,Brickovci
BRODI,Brodi,Brodi
BRODIT,Brodit,Brodit
BRODSKA ČARŠIJA,Brodska Čaršija,Brodska Carsija
